Review,Sentiment,Rating,Age,Gender,Location
 This product is amazing!                            , Positive  ,5,28, Male   , New York     
 I'm extremely satisfied with my purchase.           , Positive  ,4,35, Female , London       
 The quality of this product exceeded my expectations., Positive  ,5,42, Male   , Los Angeles  
 It's a waste of money.                              , Negative  ,1,31, Female , Paris        
 The customer service was terrible.                  , Negative  ,2,45, Male   , Berlin       
 I would not recommend this product to anyone.       , Negative  ,1,23, Female , Sydney       
" The shipping was delayed, but the product is good.  ", Positive  ,4,29, Male   , Toronto      
 This product does not meet my needs.                , Negative  ,2,38, Female , Tokyo        
 I'm disappointed with the performance.              , Negative  ,2,27, Male   , Singapore    
 It's the best product I've ever bought.             , Positive  ,5,33, Female , San Francisco
 This is not what I expected.                        , Negative  ,2,26, Male   , Miami        
 The user interface is intuitive and user-friendly.  , Positive  ,4,39, Female , Chicago      
 I'm impressed with the features and functionality.  , Positive  ,5,41, Male   , Sydney       
 The product arrived damaged and poorly packaged.    , Negative  ,1,37, Female , London       
 I'm satisfied with the price and value for money.   , Positive  ,4,30, Male   , New York     
 The product does not live up to the hype.           , Negative  ,2,32, Female , Los Angeles  
 I've had a great experience with this product.      , Positive  ,5,29, Male   , Paris        
 The product is overpriced for its quality.          , Negative  ,2,34, Female , Berlin       
 This is exactly what I was looking for.             , Positive  ,4,36, Male   , Tokyo        
 I'm not happy with the customer support.            , Negative  ,2,27, Female , San Francisco
